id,Height (inches),height_app_cm,Diameter (inches),diam_app_cm,User,phone,diam_tape,height_tape
47d,398.69,1012.6726,28.84,73.2536,Alex,pixel,45.43809963,868.68
1,293.01,744.2454,10.31,26.1874,Leif,iphone,25.46797399,606.552
2,675.66,1716.1764,14.57,37.0078,Leif,iphone,37.99983421,1356.36
3,777.5,1974.85,14.09,35.7886,Leif,iphone,40.8296091,1459.992
4,198.44,504.0376,6.28,15.9512,Leif,iphone,15.76588866,445.008
5,337.08,856.1832,8.1,20.574,Leif,iphone,19.16161853,758.952
6,109.33,277.6982,7.01,17.8054,Corbin,iphone,14.63397871,377.952
7,163.96,416.4584,7.1,18.034,Corbin,iphone,14.63397871,399.288
8,168.77,428.6758,6.84,17.3736,Corbin,iphone,18.67651426,448.056
9,346.05,878.967,12.17,30.9118,Corbin,iphone,32.90623941,691.896
10,161.69,410.6926,6.19,15.7226,Corbin,iphone,15.36163511,393.192
11,177.91,451.8914,4.75,12.065,Alex,iphone,12.12760666,402.336
12,341.97,868.6038,12.57,31.9278,Alex,iphone,23.44670622,652.272
13,317.83,807.2882,9.46,24.0284,Alex,iphone,22.47649768,679.704
14,302.86,769.2644,11.3,28.702,Alex,iphone,30.88497164,710.184
15,271.81,690.3974,9.89,25.1206,Alex,iphone,23.04245266,585.216
16,408.62,1037.8948,9.58,24.3332,Leif,iphone,28.13604746,832.104
17,298.09,757.1486,6.31,16.0274,Leif,iphone,17.4637536,533.4
18,481.4,1222.756,10.11,25.6794,Leif,iphone,28.70200244,899.16
19,312.2,792.988,11.55,29.337,Leif,iphone,31.53177733,542.544
20,102.54,260.4516,1.68,4.2672,Leif,iphone,3.557431288,228.6
21,324.04,823.0616,5.93,15.0622,Corbin,iphone,17.62545502,667.512
22,341.17,866.5718,5.2,13.208,Corbin,iphone,14.63397871,563.88
23,359.67,913.5618,5.35,13.589,Corbin,iphone,16.25099293,694.944
24,445.65,1131.951,7.89,20.0406,Corbin,iphone,19.56587208,664.464
25,369.38,938.2252,5.74,14.5796,Corbin,iphone,17.38290288,981.456
26,365.81,929.1574,7.4,18.796,Corbin,iphone,20.29352848,883.92
27,145.7,370.078,6.2,15.748,Alex,iphone,12.12760666,405.384
28,176.02,447.0908,6.1,15.494,Alex,iphone,12.61271093,496.824
29,235.8,598.932,7.28,18.4912,Alex,iphone,18.67651426,649.224
30,262.26,666.1404,7.51,19.0754,Alex,iphone,20.29352848,853.44
31,192.29,488.4166,6.32,16.0528,Leif,iphone,17.05950004,362.712
32,176.95,449.453,6.52,16.5608,Leif,iphone,16.08929151,396.24
33,486.87,1236.6498,11.28,28.6512,Leif,iphone,32.90623941,905.256
34,469.91,1193.5714,13.24,33.6296,Leif,iphone,34.36155221,926.592
35,295.38,750.2652,6.36,16.1544,Leif,iphone,18.19141,566.928
36,146.22,371.3988,4.4,11.176,Corbin,iphone,12.69356164,338.328
37,136.83,347.5482,6.34,16.1036,Corbin,iphone,16.57439577,420.624
38,142.54,362.0516,5.35,13.589,Corbin,iphone,15.44248582,432.816
39,136.51,346.7354,4.87,12.3698,Corbin,iphone,13.8254716,463.296
40a,507,1287.78,30.31,76.9874,Corbin,iphone,74.46350491,1170.432
40b,388.43,986.6122,25.05,63.627,Corbin,iphone,60.79973474,1170.432
41,327.67,832.2818,13.13,33.3502,Alex,iphone,34.03814937,758.952
42a,310.97,789.8638,7.58,19.2532,Alex,iphone,21.42543844,643.128
42b,320.85,814.959,12.21,31.0134,Alex,iphone,29.99561381,783.336
43,287.15,729.361,7.04,17.8816,Alex,iphone,18.59566355,734.568
44,340.67,865.3018,13.01,33.0454,Alex,iphone,31.3700759,917.448
45,378.61,961.6694,9.47,24.0538,Alex,iphone,22.79990053,847.344
46,337.86,858.1644,9.86,25.0444,Alex,iphone,25.46797399,691.896
47a,433.65,1101.471,13.74,34.8996,Leif,iphone,37.11047639,868.68
47b,459.49,1167.1046,16.66,42.3164,Leif,iphone,44.4678911,868.68
47c,427.69,1086.3326,14.78,37.5412,Leif,iphone,36.38281999,868.68
47d,520.38,1321.7652,18.14,46.0756,Leif,iphone,45.43809963,868.68
